"","SubsetID","Gompertz_AICc","Gompertz_Rsqrd","Gompertz_BIC","Gompertz_r_max","Gompertz_t_lag","Gompertz_N_0","Gompertz_K","Logistic_AICc","Logistic_Rsqrd","Logistic_BIC","Logistic_r_max","Logistic_N_0","Logistic_K","Medium","Actual_K","Units","Cubic_AICc","Cubic_Rsqrd","Temperature","Cubic_BIC","Species","Rsqrd_Winner","AIC_Winner","BIC_Winner","Gomp_delta_AICc","Logi_delta_AICc","Cubic_delta_AICc","Gomp_Akaike","Logi_Akaike","Cubic_Akaike","Akaike_sum","Akaike_Winner","Gomp_delta_AICc2","Logi_delta_AICc2","Gomp_Akaike2","Logi_Akaike2","Akaike2sum","Rmax","K"
"1",0,12.2886999531952,0.945872459748896,16.0912166064744,0.0389338786068828,208.743797792524,-1.47759524210387,-5.25575775212923,33.387590365969,0.876995074797373,36.5294778559284,0.0104973522607621,0.0220683873117415,0.275683971020151,"TSB",-1.25473627790609,"OD_595",-36.6027428300484,0.989971497405513,5,-32.8002261767691,"Chryseobacterium.balustinum","Cubic","Cubic","Cubic",48.8914427832436,69.9903331960173,0,2.41745330146631e-11,6.33566569205937e-16,0.999999999975825,1,"Cubic",0,21.0988904127738,0.999973792669967,2.62073300333653e-05,1,0.04,-5.26
"2",1,-108.314980569509,0.99792630775044,-104.512463916229,0.0969732544264656,0,-3.68375679143477,-0.569907969159226,-73.7151805874382,0.992493565408426,-70.5732930974788,0.0402341795540127,0.0362699884598172,0.56665981584169,"TSB",-0.541427050720785,"OD_595",9.17716602869797,0.88080223019174,5,12.9796826819772,"Enterobacter.sp.","Gompertz","Gompertz","Gompertz",0,34.5997999820705,117.492146598207,0.999999969327521,3.06724793744519e-08,3.06834733126281e-26,1,"Gompertz",0,34.5997999820705,0.999999969327521,3.06724793744519e-08,1,0.1,-0.57
"3",2,-62.9270827068097,0.996660919415737,-59.1245660535305,0.145922591208205,18.7450410537383,-5.20311438390037,-0.741210703326491,-18.1800260022545,0.982849440729864,-15.038138512295,0.0508869800979268,0.0052173913043478,0.474400096125954,"TSB",-0.654994854344957,"OD_595",31.9809549510613,0.911907583700534,5,35.7834716043406,"Pantoea.agglomerans.1","Gompertz","Gompertz","Gompertz",0,44.7470567045553,94.908037657871,0.999999999808,1.91999499155431e-10,2.46026267757908e-21,1,"Gompertz",0,44.7470567045553,0.999999999808,1.91999499155431e-10,1,0.15,-0.74
"4",3,12.6138191218172,0.957072418537884,16.8113064012962,0.105432194129953,22.4185578093357,-5.10069803768735,-0.808607175810653,17.7493654695181,0.944817414979267,21.1624381940846,0.041324373365101,0.0052173913043479,0.452831666817403,"TSB",-0.571898879467048,"OD_595",6.86086681790773,0.964343358127411,5,11.0583540973868,"Pantoea.agglomerans.2","Cubic","Cubic","Cubic",5.75295230390945,10.8884986516103,0,0.0531114971493849,0.00407397935292593,0.942814523497689,1,"Cubic",0,5.13554634770088,0.928758496000968,0.0712415039990321,1,0.1,-0.72
"5",5,-19.7060784134792,0.974573440808725,-15.9035617602,0.0284457318775128,0,-3.96126516310311,-0.994582966364033,2.02635075507316,0.940941899843641,5.16823824503259,0.00953365803765309,0.0359689114280942,0.404692082111437,"TSB",-0.904628792126312,"OD_595",-51.3908041436414,0.991473171253676,5,-47.5882874903621,"Clavibacter.michiganensis","Cubic","Cubic","Cubic",31.6847257301621,53.4171548987145,0,1.31749558992882e-07,2.51542942579493e-12,0.999999868247926,1,"Cubic",0,21.7324291685524,0.999980907857149,1.90921428510657e-05,1,0.03,-0.99
"6",6,-38.1177376153781,0.989350512175832,-34.3152209620989,0.0765086251002265,0,-5.43518987232819,-1.41005618386652,-45.2769546388711,0.990866256977749,-42.1350671489117,0.0313768692916386,0.0052785923753666,0.244817751860773,"TSB",-1.26130373606504,"OD_595",-24.3947286267816,0.982906145620925,5,-20.5922119735023,"Pseudomonas.fluorescens.1","Logistic","Logistic","Logistic",7.15921702349299,0,20.8822260120895,0.0271292773739531,0.972842309129144,2.84134969024278e-05,1,"Logistic",7.15921702349299,0,0.0271300482334945,0.972869951766505,1,0.03,0.2
"7",7,-22.2050351732659,0.985797470802632,-18.4025185199867,0.0451623447244135,0,-5.86462362922079,-1.85222256669376,-20.5703142209071,0.983503914957806,-17.4284267309477,0.0167492424432807,0.00414710302695022,0.159620395264288,"TSB",-1.76799712254613,"OD_595",-34.4348870187768,0.990684301087694,5,-30.6323703654976,"Pseudomonas.fluorescens.2","Cubic","Cubic","Cubic",12.2298518455109,13.8645727978697,0,0.00220262319651317,0.000972668976271015,0.996824707827216,1,"Cubic",0,1.63472095235885,0.693675755381543,0.306324244618457,1,0.04,-1.24
"8",8,-48.9378049963435,0.975231394274494,-45.1352883430643,0.0197105348657109,0,-4.00017252473558,-2.13945775103023,-62.459950124494,0.982941827405799,-59.3180626345346,0.0113924906074493,0.019543711379498,0.120014012350172,"TSB",-2.03864300784534,"OD_595",-63.3351673766662,0.984923817489747,5,-59.532650723387,"Acinetobacter.clacoaceticus.1","Cubic","No clear winner","No clear winner",14.3973623803227,0.875217252172192,0,0.000454084475126625,0.392132790768214,0.60741312475666,1,"No clear winner",13.5221451281505,0,0.00115664711115257,0.998843352888847,1,0.01,0.12
"9",9,-39.7149544869255,0.976567656610873,-35.9124378336463,0.0318376736404725,0,-4.66217772112459,-2.28848093607621,-31.3491073877332,0.96567314186933,-28.2072198977737,0.0133408482531437,0.0136476646327066,0.104921474755695,"TSB",-2.19957337465797,"OD_595",-42.8364386376841,0.978958853462383,5,-39.0339219844049,"Acinetobacter.clacoaceticus.2","Cubic","Cubic","Cubic",3.12148415075855,11.4873312499509,0,0.173082014814059,0.00264016656146931,0.824277818624472,1,"No clear winner",0,8.36584709919237,0.984975336973383,0.0150246630266166,1,0.03,-2.25
"10",10,-53.3678894052123,0.993364250269008,-49.5653727519331,0.0624097456406057,0,-5.34665296819314,-1.55651638690672,-66.6273886211054,0.995388372275688,-63.485501131146,0.0260362257475505,0.00567770408973514,0.210499660855038,"TSB",-1.50233977687773,"OD_595",-38.6708549731678,0.988984912228958,5,-34.8683383198886,"Stenotrophomonas.maltophilia.1","Logistic","Logistic","Logistic",13.2594992158931,0,27.9565336479376,0.00131875116249891,0.998680400160607,8.4867689422279e-07,1,"Logistic",13.2594992158931,0,0.0013187522816935,0.998681247718307,1,0.03,0.21
