"","X","mt_id","institution_code","collection_code","specimen_id","authority","taxonomy_notes","morphospecies","species","subgenus","genus","subtribe","tribe","subfamily","family","superfamily","infraorder","suborder","order","class","ncbi_may_edit","ncbi_search_success","ncbi_species","ncbi_id_rank","ncbi_taxid","variant_status","chimera_notes","traptype","dev_stage","site","locality","subregion","country","latitude","longitude","size","feeding_behaviour","habitat","habitat_stratum","authors","library","datasubmitter","projectname","genbank_accession","notes","contigname"
"GBDL01888",1,"GBDL01888","BMNH",NA,"1425236","","","","Abax parallelepipedus","","Abax","","","Pterostichinae","Carabidae","Caraboidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Abax parallelepipedus","species",102642,"unconsidered species duplicate","","","","","","","United Kingdom",NA,NA,NA,NA,"","","Linard B. and Arribas P. and Andujar C. and Crampton-Platt A. and Vogler A.P.","","","","KT876877","","KT876877"
"GBDL02306",2,"GBDL02306","",NA,"","","","","Abax parallelepipedus","","Abax","","","Pterostichinae","Carabidae","Caraboidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Abax parallelepipedus","species",102642,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","Margaryan A.","","","","MN122836","","MN122836"
"GBDL01060",3,"GBDL01060","",NA,"","","","","Abax parallelus","","Abax","","Pterostichini","Harpalinae","Carabidae","Caraboidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Abax parallelus","species",555424,"","","","","","","","",NA,NA,NA,NA,"","","A. Hunter and J Moriniere","","Tang Pu","German Barcoding","KX087231","","KX087231"
"GBDL01483",4,"GBDL01483","BMNH",NA,"844242","","","","Abraeinae sp. MJTNT-2012","","","","","Abraeinae","Histeridae","Histeroidea","Staphyliniformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Abraeinae sp. MJTNT-2012","species",1227474,"","","","","","","","United Kingdom",NA,NA,NA,NA,"","","MJTN Timmermans","","MJTN Timmermans","Mitogenomics Coleoptera","JX313690","","JX313690"
"GBDL02082",5,"GBDL02082","",NA,"","","","","Abscondita anceyi","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Abscondita anceyi","species",2307266,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","Hu J. and Fu X.","","","","MH020192","","MH020192"
"GBDL02733",6,"GBDL02733","",NA,"","","","","Abscondita cerata","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Abscondita cerata","species",2740424,"","","","","","","","",NA,NA,NA,NA,"","","Wang L.-J. and Wu Y.-W. and Wang T.-Y.","","","","MW751423","","MW751423"
"GBDL02156",7,"GBDL02156","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Wang J. and Fu X.","","","","MK122952","","MK122952"
"GBDL02913",8,"GBDL02913","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057467","","OM057467"
"GBDL02928",9,"GBDL02928","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057477","","OM057477"
"GBDL02931",10,"GBDL02931","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057469","","OM057469"
"GBDL02995",11,"GBDL02995","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057471","","OM057471"
"GBDL02999",12,"GBDL02999","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Zhang Q.-L.","","","","OM802863","","OM802863"
"GBDL03002",13,"GBDL03002","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057481","","OM057481"
"GBDL03024",14,"GBDL03024","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057478","","OM057478"
"GBDL03032",15,"GBDL03032","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057466","","OM057466"
"GBDL03034",16,"GBDL03034","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057470","","OM057470"
"GBDL03054",17,"GBDL03054","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057472","","OM057472"
"GBDL03091",18,"GBDL03091","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057475","","OM057475"
"GBDL03092",19,"GBDL03092","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057465","","OM057465"
"GBDL03099",20,"GBDL03099","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057476","","OM057476"
"GBDL03132",21,"GBDL03132","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OL998464","","OL998464"
"GBDL03168",22,"GBDL03168","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057483","","OM057483"
"GBDL03175",23,"GBDL03175","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057468","","OM057468"
"GBDL03204",24,"GBDL03204","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057474","","OM057474"
"GBDL03228",25,"GBDL03228","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057482","","OM057482"
"GBDL03251",26,"GBDL03251","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057480","","OM057480"
"GBDL03255",27,"GBDL03255","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057484","","OM057484"
"GBDL03275",28,"GBDL03275","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057473","","OM057473"
"GBDL03330",29,"GBDL03330","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057485","","OM057485"
"GBDL03349",30,"GBDL03349","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057479","","OM057479"
"GBDL03374",31,"GBDL03374","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OL998463","","OL998463"
"GBDL02168",32,"GBDL02168","",NA,"","","","","Abscondita terminalis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Abscondita terminalis","species",2069292,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","Chen X. and Dong Z. and Liu G. and He J. and Zhao R. and Wang W. and Peng Y. and Li X. and Dong Z.W. and Liu G.C. and He J.W. and Zhao R.P. and Peng Y.Q. and Li X.Y.","","","","MK292092","","MK292092"
"GBDL02430",33,"GBDL02430","",NA,"","","","","Abscondita terminalis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Abscondita terminalis","species",2069292,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","Liu Q. and Fu X.","","","","MN722653","","MN722653"
"GBDL03169",34,"GBDL03169","",NA,"","","","","Abscondita terminalis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita terminalis","species",2069292,"","","","","","","","",NA,NA,NA,NA,"","","Zhang Q.-L.","","","","OM802860","","OM802860"
"GBDL01038",35,"GBDL01038","",NA,"CG052","","","","Acalyptus sp. CG052","","Acalyptus","","Acalyptini","Curculioninae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Acalyptus sp. CG052","species",2480541,"","","","","","","","Italy",NA,NA,NA,NA,"","","C Gillett","","G Prakash","Weevil Tree from Bulk","MH404107","","MH404107"
"GBDL02391",36,"GBDL02391","",NA,"N132","","","","Acanthocinus griseus","","Acanthocinus","","Acanthocinini","Lamiinae","Cerambycidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Acanthocinus griseus","species",1501857,"","","","","","Baishanzu NR","Zhejiang","China",NA,NA,NA,NA,"","","Nie R. and Vogler A.P. and Yang X.-K. and Lin M.-Y.","","","CerambycidaePhylogeny","MN473099","","MN473099"
"GBDL01977",37,"GBDL01977","",NA,"GZU-CO-000001","","","","Acanthoscelides obtectus","","Acanthoscelides","","Bruchini","Bruchinae","Chrysomelidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Acanthoscelides obtectus","species",200917,"unconsidered species duplicate","","","","","","","China",NA,NA,NA,NA,"","","Yao J. and Yang H. and Dai R. and Dai R.H.","","","","KX825864","","KX825864"
"GBDL02050",38,"GBDL02050","",NA,"","","","","Acanthoscelides obtectus","","Acanthoscelides","","Bruchini","Bruchinae","Chrysomelidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Acanthoscelides obtectus","species",200917,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","Sayadi A. and Immonen E. and Tellgren-Roth C. and Arnqvist G. and Arngvist G.","","","","MF925724","","MF925724"
"SPSO00006",39,"SPSO00006","BMNH",NA,"1044019","","","","Achenium seditiosum","","Achenium","","","Paederinae","Staphylinidae","Staphylinoidea","Staphyliniformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Achenium seditiosum","species",2691522,"","","LL","Adult","","Sierra de Cabra","Cordoba","Spain",NA,NA,NA,NA,"","","C Andujar","","C Andujar","Beetles from Soil","MK692556","","Contig_7_1044019_Adult"
"GBDL00019",40,"GBDL00019","BMNH",NA,"1425211","","","","Acilius sulcatus","","Acilius","","Aciliini","Dytiscinae","Dytiscidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Acilius sulcatus","species",107768,"","","Collected with a net from freshwater","","Adams Pond","Richmond Park","London","United Kingdom",NA,NA,NA,NA,"","","P Arribas","","B Linard","Ethanol Preservation Fluid","KT876878","","KT876878"
"GBDL02478",41,"GBDL02478","",NA,"","","","","Aclees cribratus","","Aclees","","Hylobiini","Molytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Aclees cribratus","species",2735253,"","","","","","","","China",NA,NA,NA,NA,"","","Wang B.-X. and Xu Y.-L. and Zhuo Z.-H. and Xu X.-L. and Liu J. and Qiu J. and Fang R. and Liu Y.-K. and Zeng Z. and Xiao Q.-G. and Wang B. and Zhuo Z. and Xu X. and Xu Y. and Liu Y. and Xiao Q.","","","","MT501538","","MT501538"
"GBDL02756",42,"GBDL02756","",NA,"","","","","Aclees taiwanensis","","Aclees","","Hylobiini","Molytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Aclees taiwanensis","species",2758708,"","","","","","","","South Korea",NA,NA,NA,NA,"","","Hong K.-J. and Ki W. and Heo Y.R. and Lee H. and Park J. and Lee W.","","","","MZ305480","","MZ305480"
"GBDL01802",43,"GBDL01802","",NA,"","","","","Acmaeodera sp. NCS-2009","","Acmaeodera","","","Polycestinae","Buprestidae","Buprestoidea","Elateriformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Acmaeodera sp. NCS-2009","species",590154,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","Sheffield N.C. and Song H. and Cameron S.L. and Whiting M.F.","","","","FJ613420","","FJ613420"
"GBDL01451",44,"GBDL01451","BMNH",NA,"838158","","","","Acmaeodera sp. RUGACM01","","Acmaeodera","","","Polycestinae","Buprestidae","Buprestoidea","Elateriformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Acmaeodera sp. RUGACM01","species",1205531,"","","","","","","","South Africa",NA,NA,NA,NA,"","","MJTN Timmermans","","MJTN Timmermans","Mitogenomics Coleoptera","JX412781","","JX412781"
"GBDL01082",45,"GBDL01082","",NA,"","","","","Acrocrypta assamensis","","Acrocrypta","","Alticini","Galerucinae","Chrysomelidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Acrocrypta assamensis","species",715818,"","","","","","","","",NA,NA,NA,NA,"","","T Breeschoten","","R Nie","Phylogeny Chrysomelidae","MG021086","","MG021086"
"GBDL01613",46,"GBDL01613","BMNH",NA,"746105","","","","Acrotona obfuscata","","Acrotona","","Athetini","Aleocharinae","Staphylinidae","Staphylinoidea","Staphyliniformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Acrotona obfuscata","species",1143013,"","","","","","","","",NA,NA,NA,NA,"","","E Favreau","","B Linard","Staphylinidae","KT780620","","KT780620"
"SRAA00077",47,"SRAA00077","",NA,"","","","","Acrotrichis sp. AD-2015","","Acrotrichis","","","Acrotrichinae","Ptiliidae","Staphylinoidea","Staphyliniformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Acrotrichis sp. AD-2015","species",1661486,"","","","","","","","",NA,NA,NA,NA,"","","","","","","SRR2083619","","Acrotrichis_sp"
"GBDL02803",48,"GBDL02803","",NA,"MNCN_Ent 296023","","","","Actenodia billbergi","","Actenodia","","","Meloinae","Meloidae","Tenebrionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Actenodia billbergi","species",444481,"","","","","","","","Spain",NA,NA,NA,NA,"","","Lopez-Estrada K. and Isabel S. and Juan U.E. and Samuel A. and Mario G.-P.","","","","OK360631","","OK360631"
"GBDL01321",49,"GBDL01321","",NA,"","","","","Adalia bipunctata","","Adalia","","Coccinellini","Coccinellinae","Coccinellidae","Coccinelloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",FALSE,TRUE,"Adalia bipunctata","species",7084,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","","","","","KU877024","","KU877024"
"GBDL02591",50,"GBDL02591","",NA,"","","","","Adalia bipunctata","","Adalia","","Coccinellini","Coccinellinae","Coccinellidae","Cucujoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Adalia bipunctata","species",7084,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","Li X.","","","","MW029465","","MW029465"
"GBDL02872",51,"GBDL02872","",NA,"","","","","Adalia bipunctata","","Adalia","","Coccinellini","Coccinellinae","Coccinellidae","Cucujoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Adalia bipunctata","species",7084,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","","","","","OU342959","","OU342959"
"GBDL03130",52,"GBDL03130","",NA,"","","","","Adalia decempunctata","","Adalia","","Coccinellini","Coccinellinae","Coccinellidae","Coccinelloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Adalia decempunctata","species",115343,"","","","","","","","",NA,NA,NA,NA,"","","","","","","OX637707","","OX637707"
"GBDL01804",53,"GBDL01804","",NA,"","","","","Adelium sp. NCS-2009","","Adelium","","","Lagriinae","Tenebrionidae","Tenebrionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Adelium sp. NCS-2009","species",590155,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","Sheffield N.C. and Song H. and Cameron S.L. and Whiting M.F.","","","","FJ613422","","FJ613422"
"GBDL01292",54,"GBDL01292","BMNH",NA,"842678","","","","Aderidae sp. GENSP01","","","","","","Aderidae","Tenebrionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Aderidae sp. GENSP01","species",1205532,"","","","","","","","Cameroon",NA,NA,NA,NA,"","","MJTN Timmermans","","MJTN Timmermans","Mitogenomics Coleoptera","JX412763","","JX412763"
"GBDL03220",55,"GBDL03220","",NA,"","","","","Adiscus speciosus","","Adiscus","","","Cryptocephalinae","Chrysomelidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Adiscus speciosus","species",2978449,"","","","","","","","",NA,NA,NA,NA,"","","Li X.Y. and Duan W.Y. and Zhao T.Y. and Lu L.","","","","OK012092","","OK012092"
"GBDL01281",56,"GBDL01281","BMNH",NA,"843258","","","","Adoretus sp. ADO01","","Adoretus","","","Rutelinae","Scarabaeidae","Scarabaeoidea","Scarabaeiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Adoretus sp. ADO01","species",1205533,"","","","","","","","South Africa",NA,NA,NA,NA,"","","MJTN Timmermans","","MJTN Timmermans","Mitogenomics Coleoptera","JX412788","","JX412788"
"GBDL01742",57,"GBDL01742","",NA,"","","","","Adranes taylori","","Adranes","","","Pselaphinae","Staphylinidae","Staphylinoidea","Staphyliniformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Adranes taylori","species",1535445,"","","","","","","","",NA,NA,NA,NA,"","","","","","","KM350454","","KM350454"
"GBDL00576",58,"GBDL00576","",NA,"","","","","Adrastus rachifer","","Adrastus","","","Elaterinae","Elateridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Adrastus rachifer","species",869181,"","","","","","","","",NA,NA,NA,NA,"","","A. Hunter and J Moriniere","","Tang Pu","German Barcoding","KX087232","","KX087232"
"GBDL03310",59,"GBDL03310","",NA,"","","","","Aegialites californicus","","Aegialites","","","","Salpingidae","Tenebrionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Aegialites californicus","species",3056834,"","","","","","","","",NA,NA,NA,NA,"","","Haugen M.N.","","","","OR168935","","OR168935"
"GBDL02343",60,"GBDL02343","",NA,"N33","","","","Aegolipton marginale","","Aegolipton","","Aegosomatini","Prioninae","Cerambycidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Aegolipton marginale","species",2769921,"","","","","Menglunzhen","Xishuangbanna","Yunnan","China",NA,NA,NA,NA,"","","Nie R. and Vogler A.P. and Yang X.-K. and Lin M.-Y.","","","CerambycidaePhylogeny","MN420471","","MN420471"
"GBDL01836",61,"GBDL01836","",NA,"","","","","Aegorhinus superciliosus","","Aegorhinus","","","Cyclominae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Aegorhinus superciliosus","species",1448030,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","Cabrera-Brandt M.A. and Gaitan-Espitia J.D. and Cabrera M. and Figueroa C.","","","","KF785807","","KF785807"
"GBDL02407",62,"GBDL02407","",NA,"N155","","","","Aegosoma pallidum","","Aegosoma","","Aegosomatini","Prioninae","Cerambycidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Aegosoma pallidum","species",2769901,"","","","","Borneo Jungle Girl Camp","Keningau","Sabah","Malaysia",NA,NA,NA,NA,"","","Nie R. and Vogler A.P. and Yang X.-K. and Lin M.-Y.","","","CerambycidaePhylogeny","MN473115","","MN473115"
"GBDL02017",63,"GBDL02017","",NA,"","","","","Aegosoma sinicum","","Aegosoma","","Aegosomatini","Prioninae","Cerambycidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Aegosoma sinicum","species",2020310,"unconsidered species duplicate","","","","","","","China",NA,NA,NA,NA,"","","","","","","KY773686","","KY773686"
"GBDL01779",64,"GBDL01779","",NA,"","","","","Aeolesthes oenochrous","","Aeolesthes","","Cerambycini","Cerambycinae","Cerambycidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Aeolesthes oenochrous","species",1162206,"unconsidered species duplicate","","","","","","","Taiwan",NA,NA,NA,NA,"","","Chiu W.C. and Yeh W.B. and Chen M.E. and Yang M.M. and Yeh W.","","","","AB703463","","AB703463"
"GBDL02236",65,"GBDL02236","",NA,"ANIC_25-067077","","","","Aesa media","","Aesa","","Tereticini","Prioninae","Cerambycidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Aesa media","species",2546595,"","","","","","","Queensland","Australia",NA,NA,NA,NA,"","","Jin M. and Zwick A. and Slipinski A. and Keyzer R. and Pang H.","","","","MK614538","","MK614538"
"GBDL01732",66,"GBDL01732","",NA,"","","","","Aesalus sp. JL-2019","","Aesalus","","Aesalini","Aesalinae","Lucanidae","Scarabaeoidea","Scarabaeiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Aesalus sp. JL-2019","species",2565995,"","","","","","","","",NA,NA,NA,NA,"","","","","","","MH120282","","MH120282"
"GBDL02051",67,"GBDL02051","",NA,"","","","","Aethina tumida","","Aethina","","","Nitidulinae","Nitidulidae","Cucujoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Aethina tumida","species",116153,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","Duquesne V. and DelCont A. and Huleux A. and Chabert M.","","","","MF943248","","MF943248"
"GBDL03157",68,"GBDL03157","SHB",NA,"","","","","Aethina tumida","","Aethina","","","Nitidulinae","Nitidulidae","Cucujoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Aethina tumida","species",116153,"","","","","","","","China",NA,NA,NA,NA,"","","Gao C.-B.","","","","OM084952","","OM084952"
"SRAA00057",69,"SRAA00057","",NA,"","","","","Aethina tumida","","Aethina","","","Nitidulinae","Nitidulidae","Cucujoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Aethina tumida","species",116153,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","","","","","SRR5075726|GCA_001937115.1","","Aethina_tumida"
"GBDL03264",70,"GBDL03264","",NA,"","","","","Afissula kambaitana","","Afissula","","Epilachnini","Epilachninae","Coccinellidae","Coccinelloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Afissula kambaitana","species",511865,"","","","","","","","",NA,NA,NA,NA,"","","Song N. and Li X.","","","","MF992930","","MF992930"
"GBDL02301",71,"GBDL02301","",NA,"","","","","Afissula sp. XL-2019","","Afissula","","Epilachnini","Epilachninae","Coccinellidae","Coccinelloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Afissula sp. XL-2019","species",2678940,"","","","","","","","",NA,NA,NA,NA,"","","Song N. and Li X. and Yin X. and Xi Y.","","","","MN053057","","MN053057"
"GBDL02485",72,"GBDL02485","",NA,"","","","","Agabus paludosus","","Agabus","","Agabini","Agabinae","Dytiscidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Agabus paludosus","species",207455,"","","","","","","","",NA,NA,NA,NA,"","","Leerhoei F.","","","","MT622519","","MT622519"
"GBDL00298",73,"GBDL00298","",NA,"","","","","Agabus uliginosus","","Agabus","","Agabini","Agabinae","Dytiscidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Agabus uliginosus","species",1163528,"","","","","","","","",NA,NA,NA,NA,"","","A. Hunter and J Moriniere","","Tang Pu","German Barcoding","KX087233","","KX087233"
